id,article_title,article_language,journal_title,jounral_abbreviation,article_jvolumn,article_jissue,author_list
225002,Services for children and adolescents with autism spectrum disorders: payment issues.,eng,Pediatric annals,Pediatr Ann,38,1,"{""Lynn M Wegner"",""Michelle M Macias""}"
550350,Mapping Curriculum to Ed Tech and Industry Standards,,Learning & Leading with Technology,,33,6,"{""OR. International Society for Technology in Education, Eugene"",""Bjorn Norstrom""}"
622979,Processed meat consumption and stomach cancer risk: a meta-analysis.,eng,Journal of the National Cancer Institute,J. Natl. Cancer Inst.,98,15,"{""Nicola Orsini"",""Susanna C Larsson"",""Alicja Wolk""}"
501663,The epidemiology of injury for an elite junior Australian Football cohort,,Journal of Science & Medicine in Sport,,15,3,"{""John Petkov"",""Steve Bailey"",""Samuel Chalmers"",""Michael Heynen"",""Ebonie Scase"",""Mary E Magarey""}"
48738,"Prebiotics, immune function, infection and inflammation: a review of the evidence",eng,,,101,0,"{""A. R. Lomax"",""P. C. CN  - Pubmed DA  - Mar DO  - 10.1017/s0007114508055608 DP  - NLM ET  - 2008/09/26 Calder""}"
143029,Steroids and antihistamines synergize to inhibit rat's airway smooth muscle contractility.,ENG,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,Eur Arch Otorhinolaryngol,,,"{""Shao-Cheng Liu"",""Chi-Chung Wu"",""Hsing-Won Wang"",""Chuan-Hsiang Kao"",""Yueng-Hsiang Chu""}"
667611,Reasons for and against participation in studies of medicinal therapies for women with breast cancer: a debate.,eng,BMC Medical Research Methodology,,12,,"{""Marion Habersack"",""Irmina-Anna Gerlich"",""Gero Luschin""}"
565079,The effect of preservation solutions for storage of liver allografts on transplant outcomes: a systematic review and meta-analysis.,eng,Annals Of Surgery,Ann Surg,260,1,"{""John M O�_Callaghan"",""Robert D Morgan"",""Peter J Morris"",""Simon R Knight""}"
348006,Ultrasonically enhanced vancomycin activity against Staphylococcus epidermidis biofilms in vivo.,eng,Journal of biomaterials applications,J Biomater Appl,18,4,"{""R A Robison"",""J L Nelson"",""B L Roeder"",""B L Beckstead"",""G B Schaalje"",""J C Carmen"",""W G Pitt"",""C M Runyan""}"
55412,Cuneus and fusiform cortices thickness is reduced in trigeminal neuralgia.,eng,The journal of headache and pain,J Headache Pain,15,,"{""Thomas Martin Doring"",""Maud Parise"",""Gustavo Tukamoto"",""Emerson Leandro Gasparetto"",""Tadeu Takao Almodovar Kubo"",""Maurice Vincent""}"
546048,The Impact of Read Right: Semester-Only versus Year-Long Inplementation,,ProQuest LLC,,0,0,"{""John B. Sell""}"
979292,Muscle - tendon unit mechanical and morphological properties and sprint performance.,eng,Journal of sports sciences,J Sports Sci,25,9,"{""Savvas Stafilidis"",""Adamantios Arampatzis""}"
971456,An insulin-like growth factor-I gene polymorphism modifies the risk of microalbuminuria in subjects with an abnormal glucose tolerance,English,European Journal of Endocrinology,,154,5,"{""H. A. P. Pols"",""C. M. van Duijin"",""S. W. J. Lamberts"",""I. Rietveld"",""A. Hofman"",""J. A. M. J. L. Janssen""}"
533193,Biofeedback dialysis for hypotension and hypervolemia: a systematic review and meta-analysis.,eng,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",Nephrol. Dial. Transplant.,28,1,"{""Elie A Akl"",""Gordon Guyatt"",""Stephen D Walter"",""Rita S Suri"",""Reem A Mustafa"",""Gihad E Nesrallah"",""Robert M Lindsay""}"
970436,Cytokine profiling of young overweight and obese female African American adults with prediabetes,English,Cytokine,Cytokine,64,1,"{""J. Bhagatwala"",""W. Caldwell"",""D. H. Guo"",""A. Mellor"",""H. Zhu"",""R. Caldwell"",""R. Lucas"",""S. J. Parikh"",""Y. Dong"",""S. Sridhar"",""Y. Dong""}"
437969,Review of prasugrel for the secondary prevention of atherothrombosis.,,,,0,0,{NULL}
464335,Stereotactic radiosurgery for spinal metastases: a literature review. [Review],,,,0,0,{NULL}
417782,Pancreatic surgery. A paradigm for progress in the age of the bottom line,eng,Arch Surg,"Archives of surgery (Chicago, Ill. : 1960)",130,3,"{""A. L. Warshaw""}"
979059,Difference in fascicle behaviors between superficial and deep quadriceps muscles during isometric contractions.,ENG,Muscle & nerve,Muscle Nerve,,,"{""Hiroshi Akima"",""Kazunori Nosaka"",""Aya Tomita"",""Anthony J Blazevich"",""Takayuki Inami"",""Ryosuke Ando"",""Kohei Watanabe""}"
661572,Losing life and livelihood: a systematic review and meta-analysis of unemployment and all-cause mortality.,eng,Social science & medicine (1982),Soc Sci Med,72,6,"{""David J Roelfs"",""Joseph E Schwartz"",""Eran Shor"",""Karina W Davidson""}"
132901,Evaluation of a rapidly rotating shift system for tolerance of nurses to nightwork.,eng,International archives of occupational and environmental health,Int Arch Occup Environ Health,65,5,"{""D Minors"",""J Waterhouse"",""G Ghirlanda"",""G Costa"",""G Tarondi""}"
245822,[Osteoporosis prevention in patients with low energy hip fractures hospitalized in the orthopedic department],dan,Ugeskr Laeger,Ugeskrift for laeger,164,27,"{""C. B. Mogensen"",""I. B. Jacobsen"",""L. Wiboe""}"
440401,American palm ethnomedicine: a meta-analysis..,,,,0,0,{NULL}
77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,Critical reviews in oncology/hematology,Crit. Rev. Oncol. Hematol.,84,1,"{""Emile E Voest"",""Saskia C C M Teunissen"",""Alexander de Graeff"",""Marija Trajkovic-Vidakovic""}"
592817,Isolates and antibiotic resistance of culture-proven endophthalmitis cases presented to a referral center in Tehran,eng,,,19,4,"{""M. M. Parvaresh"",""M. Hashemi"",""R. Soodi"",""S. Nekoozadeh"",""S. A. Alemzadeh"",""K. G. Falavarjani"",""M. Modarres""}"
169270,Public health impact of the 1992 Los Angeles civil unrest,,"Public health reports (Washington, D.C. : 1974)",Public Health Rep,108,3,{NULL}
288711,Laparoscopic reversal of Hartmann's rectosigmoidectomy,,Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland,Colorectal Dis,10,1,"{""S. Slawik"",""A. R. Dixon""}"
184949,The situation of Romanian HIV-positive adolescents: Results from the first national representative survey,,,,22,0,"{""D. Buzducea"",""Buzducea Cohen Johnson Lazar Lazar Lejars Lyon Marin McDowell Mardarescu O'Leary Paxton Wood Berger"",""F. Lazar"",""E. I. Mardare""}"
833251,Life stress and the long-term treatment course of recurrent depression: III. Nonsevere life events predict recurrence for medicated patients over 3 years,,Journal of Consulting and Clinical Psychology,,74,1,"{""E. Frank"",""L.D. Torres"",""D. Kupfer"",""K.L. Harkness"",""J. Guillaumot"",""J.E. Roberts"",""S.M. Monroe""}"
470174,Value of spiral CT in hemodynamically stable patients following blunt chest trauma.,eng,Computerized Medical Imaging and Graphics: The Official Journal of the Computerized Medical Imaging Society,Comput Med Imaging Graph,22,6,"{""R Tello"",""K Kandarpa"",""R F Munden"",""S Hooton"",""R Pugatch""}"
315926,Preventing injuries through interventions for problem drinking: a systematic review of randomized controlled trials,,,,34,4,"{""I. Roberts"",""E. Heitman"",""C. Diguiseppi"",""T. Dinh-Zarr""}"
901385,Nutrition and obstructed labor,,American Journal of Clinical Nutrition,,72,1,"{""O. A. Ladipo"",""J. C. Konje""}"
787529,"Rationale, design and methods of the HEALTHY study nutrition intervention component",eng,Int J Obes (Lond),International journal of obesity (2005),33,0,"{""S. McCormick"",""B. Gillis"",""A. Virus"",""M. A. Staten"",""C. Mobley"",""S. L. Volpe"",""J. Bridgman"",""L. El ghormli"",""D. D. Stadler"",""J. Hartstein""}"
431348,Atomoxetine treatment of children and adolescents with ADHD: Clinical questions and answers. (German),,,,0,0,{NULL}
441393,The novel applications of the quantitative analysis of neutrophil cell surface FcgammaRI (CD64) to the diagnosis of infectious and inflammatory diseases.,,,,0,0,{NULL}
481882,Inhibition of cisplatin-induced lipid catabolism and weight loss by ghrelin in male mice.,eng,Endocrinology,Endocrinology,154,9,"{""Thomas Scherer"",""Jose M Garcia"",""Victor Papusha"",""Ji-an Chen"",""Mark Asnicar"",""Joanna Smiechowska"",""Bobby Guillory"",""Christoph Buettner"",""Roy G Smith"",""Anriada Nassif""}"
572425,Primary cutaneous large B-cell lymphoma of the legs: a distinct clinical pathologic entity treated with CD20 monoclonal antibody (rituximab).,eng,American Journal of Clinical Oncology-Cancer Clinical Trials,,24,3,"{""D M Aboulafia""}"
581864,Improving Implementation of Classroom Instruction through Teacher-Directed Behavioral Consultation: A Single-Case Demonstration,,International Journal of Behavioral Consultation and Therapy,,2,3,"{""Marcie W. Handler"",""James K. Luiselli"",""Jennifer A. Mautone""}"
455406,Green tea in dermatology. [Review],,,,0,0,{NULL}
696362,Teaching Calculus and Other Challenging Courses to Nontraditional and At-Risk Students at a Research University.,,McNeill Mathematics Program,College Teaching,54,4,"{""C. G. Mendez""}"
504206,Tropical infection after a case of total hip arthroplasty.,eng,The Journal of hospital infection,J. Hosp. Infect.,87,3,"{""E Senneville"",""H Melliez"",""V Lovi"",""C Joseph"",""M Douaud"",""M Pradier"",""T Boyer"",""A Meybeck"",""L Fortin-Lebraud""}"
800900,Chronic pelvic pain.,eng,Best practice & research. Clinical gastroenterology,Best Pract Res Clin Gastroenterol,23,4,"{""Andrew Paul Baranowski""}"
235689,Obstetrical anal sphincter laceration and anal incontinence 5-10 years after childbirth,eng,Am J Obstet Gynecol,American journal of obstetrics and gynecology,207,5,"{""K. C. McDermott"",""J. L. Blomquist"",""V. L. Handa"",""E. C. Evers""}"
659896,Comparative effectiveness of instructional design features in simulation-based education: systematic review and meta-analysis.,eng,Medical teacher,Med Teach,35,1,"{""Benjamin Zendejas"",""Stanley J Hamstra"",""Rose Hatala"",""David A Cook"",""Amy T Wang"",""Jason H Szostek"",""Patricia J Erwin"",""Ryan Brydges""}"
84944,Body mass index and outcome of ASC-H-interpreted cervical smears in postmenopausal women.,eng,Acta cytologica,Acta Cytol.,56,3,"{""Jae Jun Lee"",""Sang Yong Song"",""Soomin Ahn"",""Young Lyun Oh"",""Ji-Youn Sung"",""Chang Ohk Sung"",""Yoo-Young Lee""}"
326944,Plasma concentration of asymmetric dimethylarginine and the risk of coronary heart disease: rationale and design of the multicenter CARDIAC study.,eng,Atherosclerosis. Supplements,Atheroscler Suppl,4,4,"{""Andreas M���_gge"",""Christoph Hanefeld"",""Rainer H B���ger"",""[Collective Name] CARDIAC study investigators""}"
922795,[Toxicology and clinical significance of base-catalized degradation of sevoflurane to Compound A].,ger,Schlafsțrungen bei kritisch kranken patienten,,45,,"{""R M Jones"",""P Conzen""}"
768486,"Functionality and feedback: a protocol for a realist synthesis of the collation, interpretation and utilisation of PROMs data to improve patient care",eng,BMJ Open,,4,7,"{""C. Mills"",""S. Dalkin"",""J. Greenhalgh"",""C. Wood"",""L. Wood"",""J. Wright"",""E. Gibbons"",""N. Black"",""J. M. Valderas"",""R. Pawson"",""D. Meads""}"
428363,Case report. Cutaneous cryptococcosis in a patient with systemic erythematous lupus.,eng,Mycoses,Mycoses,44,9,"{""L Ramos"",""S Mathur�_n"",""A Mateo"",""C L�_pez"",""C G�_mez""}"
519287,A method for determining skeletal lengths from DXA images.,eng,BMC Musculoskelet Disord,BMC musculoskeletal disorders,8,,"{""Glen M Blake"",""Tim D Spector"",""Ignac Fogelman"",""Usha Chinappen-Horsley""}"
638918,Imaging for target volume delineation in rectal cancer radiotherapy--a systematic review.,eng,Clinical Oncology (Royal College of Radiologists),,24,1,"{""R Webster"",""E Spezi"",""S Mukherjee"",""R Adams"",""S Gwynne"",""J Staffurth"",""B Coles""}"
111336,The influence of smoking and impaired glucose homoeostasis on the outcome in patients presenting with an acute coronary syndrome: a cross-sectional study.,eng,BMJ Open,,4,7,"{""Anders Halling"",""H̴kan Odeberg"",""Henrik Forssell"",""Jacob Odeberg"",""Marie-Louise Persson"",""Lennart R̴stam"",""Ivar Vaara"",""Ulf Lindblad"",""Michael Freitag""}"
747279,Systematic review exploring the effect of exercise in pulmonary rehabilitation on depression levels in patients with chronic obstructive pulmonary disease,,Physiotherapy,Physiotherapy,97,0,"{""Patil S."",""Horobin H.""}"
674696,Environmental and genomic factors as well as interventions influencing smoking cessation: a systematic review of reviews and a proposed working model.,eng,Public health genomics,Public Health Genomics,16,4,"{""A Brand"",""J Van der Heyden"",""S de Viron"",""H Van Oyen"",""N Malats""}"
258108,"Impact of seasonality on recruitment, retention, adherence, and outcomes in a web-based smoking cessation intervention: randomized controlled trial",,,,15,0,"{""Mushro A"",""Niaura R S"",""Graham A L"",""Cobb N K"",""Fang Y"",""Cha S""}"
59308,White matter diffusivity predicts memory in patients with subjective and mild cognitive impairment and normal CSF total tau levels.,eng,Journal of the International Neuropsychological Society : JINS,J Int Neuropsychol Soc,16,1,"{""Ramune Grambaite"",""Anders M Fjell"",""Tormod Fladby"",""Kristine B Walhovd"",""Vidar Stenset"",""Ivar Reinvang""}"
610641,Comparison between open and closed suction systems: a systematic review.,ENGPOR,Revista Brasileira de terapia intensiva,Rev Bras Ter Intensiva,20,4,"{""Luiz Rog̩rio de Carvalho Oliveira"",""Nilza Aparecida Almeida de Carvalho"",""Fl��vio C L Cavalcanti Ara̼jo"",""Izabela Menezes Pagotto"",""Paulo Chiavone""}"
631704,Association between interleukin-10 promoter polymorphisms and endometriosis: a meta-analysis.,eng,Gene,Gene,515,1,"{""Qiong Chen"",""Wei Fan"",""Qianhong Ma"",""Zhongying Huang"",""Zhun Xiao"",""Shangwei Li""}"
846537,Overactive bladder: Optimizing quality of care,,Am. J. Managed Care,,7,2,"{""Lemack G.E.""}"
973076,Thyroid-related autoantibodies and celiac disease: a role for a gluten-free diet?,,Journal of Clinical Gastroenterology,,35,3,"{""E. Mainardi"",""G. Moscato"",""A. Montanelli"",""M. Dotti"",""R. Nano""}"
931402,Providing access to specialty care for severely disabled institutional residents: an academic health center telemedicine model,,Journal of Health Care for the Poor & Underserved,,20,2,"{""A. K. Marcee"",""S. P. Roaten"",""J. B. Morrow"",""K. J. Kowalske"",""L. E. Snell"",""L. L. Goetz""}"
908690,A robust method for diagnosis of morphological arrhythmias based on Hermitian model of higher-order statistics,English,Biomedical engineering online,Biomed Eng Online,10,0,"{""Address Correspondence"",""S. Karimifard"",""Addresses Author"",""ahmadian@sina.tums.ac.ir "",""Tehran Medical Physics"",""Tehran Medical Physics"",""Department of Biomedical Systems S. Karimifard"",""Tums Tehran Iran Email University of Medical Sciences"",""A. Ahmadian"",""Tums Tehran Iran University of Medical Sciences"",""Systems Department of Biomedical""}"
417373,Shared decision making and the future of managed care,,Disease Management and Clinical Outcomes,,1,1,"{""J. E. Wennberg""}"
759329,Specific plasma factors blocking human maternal cell-mediated immune reaction to placental antigens.,eng,Nature: New biology,Nature New Biol.,242,117,"{""V Youtananukorn"",""P Mantangkasombut""}"
386327,MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,eng,Cardiology in the young,Cardiol Young,23,5,"{""Dalia Elimam"",""Keith A Webster"",""Ahmed Omran"",""Fei Yin"",""Lina A Shehadeh""}"
695010,Association of Ureaplasma urealyticum colonization with development of bronchopulmonary dysplasia: a systemic review and meta-analysis.,eng,Journal of Huazhong University of Science and Technology. Medical Sciences,J Huazhong Univ Sci Technolog Med Sci,34,2,"{""Jia-rui Pu"",""Dan Li"",""De-hua Yang"",""Li-duan Zheng"",""Xiao-dan Zheng"",""Hong Mei"",""Xuan Xiang"",""Qiang-song Tong""}"
191908,Mortality at older ages and moves in residential and sheltered housing: evidence from the UK,,Journal of Epidemiology and Community Health,,68,6,"{""J. Falkingham"",""M. Evandrou"",""A. Vlachantoni"",""J. Robards""}"
384767,A multinational study of thromboprophylaxis practice in critically ill children.,eng,Critical care medicine,Crit. Care Med.,42,5,"{""Sarah H O'Brien"",""Marisa Tucci"",""Antonio Rodriguez Nunez"",""Philip C Spinella"",""Li Qin"",""Edward Vincent S Faustino"",""Adrienne G Randolph"",""Edward Truemper"",""Simon Li"",""Kimberly Marohn"",""Sheila Hanson"",""Michael Yung"",""[Collective Name] PROphylaxis against ThRombosis prACTice (PROTRACT) Study Investigators of the PALISI BloodNet""}"
855912,Asymmetric inheritance of mitochondrial content in aging budding yeast cells,English,"Molecular Biology of the Cell. Conference: Annual Meeting of the American Society for Cell Biology, ASCB",,23,24,"{""E. A. Martin"",""L. F. Costa"",""H. Li"",""Y. Zhang"",""M. P. Viana"",""S. M. Rafelski"",""W. F. Marshall""}"
710727,Physical activity moderates time-of-day differences in older adults' working memory performance.,,Experimental Aging Research,,32,4,"{""DeLosh EL"",""Bugg JM"",""Clegg BA""}"
816996,Uses of the electrical skin resistance method in the study of patients with neck and upper extremity pain,English,Johns Hopkins Medical Journal,JOHNS HOPKINS MED. J.,137,2,"{""C.P. Richter"",""L.H. Riley Jr.""}"
625016,[New aspects in hernia surgery].,ger,Urologe A,,44,7,"{""P E Goretzki"",""B J Lammers"",""T Otto""}"
275675,An exploration of self-reported negative affect by adolescents as a reason for smoking: implications for tobacco prevention and intervention programs,eng,Prev Med,Preventive medicine,41,2,"{""J. Robinson"",""D. W. Smith"",""B. Colwell"",""S. L. Stevens"",""C. McMillan""}"
967376,Diagnosis of peripheral lung cancer with three echoic features via endobronchial ultrasound,English,Chest,,132,3,"{""H. C. Chen"",""S. M. Lin"",""C. L. Chou"",""C. T. Yu"",""H. P. Kuo"",""C. H. Kuo""}"
640230,A meta-analysis of labor supply effects of interventions for major depressive disorder.,eng,Psychiatric Services.,,57,2,"{""Justin W Timbie"",""Marcela Horvitz-Lennon"",""Sharon-Lise T Normand"",""Richard G Frank""}"
625663,Combined pharmacotherapy and psychological treatment for depression: a systematic review.,eng,Archives of General Psychiatry,Arch.Gen.Psychiatry,61,7,"{""Paola Bollini"",""Giuseppe Tibaldi"",""Bruce Kupelnick"",""Carmine Munizza"",""Sandro Pampallona""}"
480649,Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,,Journal of Sexual Medicine,,12,0,"{""A. Ungkanungdecha"",""C. Chayachinda"",""J. Veeragul"",""J. Jisabai""}"
782541,eComment. EuroSCORE II - corrected in-hospital mortality rate in a modern cohort of patients undergoing cardiac surgery,English,Interactive Cardiovascular & Thoracic Surgery,Interact Cardiovasc Thorac Surg,19,5,"{""D. G. Nezic""}"
692358,"The effect of a cervical lateral glide on the upper limb neurodynamic test: a blinded, placebo-controlled investigation",,"The Chartered Society of Physiotherapy Annual Congress and Exhibition: Defining Practice, Friday, October 17 to Sunday, October 19 2003, International Convention Centre, Birmingham.",,0,0,"{""A Green"",""J Lewis"",""C Worsfold"",""J Saranga""}"
836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,,Curr. Probl. Cardiol.,,33,5,"{""Elefteriades J.A.""}"
867207,Early predicting of blood component quality by Statistical Process Control,,Vox Sanguinis,,99,0,"{""H. Jungk"",""W. Madla"",""V. Schottstedt"",""T. Alt""}"
253149,Lifetime risk of suicide in affective disorders,,The British Journal of Psychiatry,,173,0,"{""A. S. Lee"",""S. Davies"",""P. C. Naik""}"
929971,A geographic analysis of chronically homeless adults before and after enrollment in a multi-site supported housing initiative: community characteristics and migration,,American Journal of Community Psychology,,48,3,"{""R. A. Rosenheck"",""J. Tsai"",""A. S. Mares""}"
470385,Fetal cleft lip and palate detection by three-dimensional ultrasonography,,Ultrasound Obstet. Gynecol.,,16,4,"{""Lee W."",""Kirk J.S."",""Shaheen K.W."",""Romero R."",""Hodges A.N."",""Comstock C.H.""}"
731703,Substance Abuse and Trauma in Incarcerated Women,,,,0,0,"{""NCT01413984 ""}"
113399,Use of Job Design to Reduce Mechanical Stress on the Back,,,,0,0,"{""D. W. Badger""}"
685178,Rehabilitation of swallowing by exercise in tube-fed patients with pharyngeal dysphagia secondary to abnormal UES opening.,eng,Annual Abstract Supplement,,122,5,"{""Mark Kern"",""Karen Dikeman"",""Barbara Grande"",""Marta Kazandjian"",""Terilynn Nitschke"",""Stephanie Daniels"",""Benson Massey"",""Reza Shaker"",""Caryn Easterling""}"
653325,A meta-analysis of two genome-wide association studies identifies 3 new loci for alcohol dependence.,eng,Journal of psychiatric research,J Psychiatr Res,45,11,"{""Min Zeng"",""Yue Pan"",""Qunyuan Zhang"",""Ke-Sheng Wang"",""Nagesh Aragam"",""Xuefeng Liu""}"
893573,Crowdsourced Multimedia Enhanced Spatio-temporal Constraint Based on-Demand Social Network for Group Mobility,,Proceedings of the 23rd ACM international conference on Multimedia,,0,0,"{""Ahmad Qamar"",""Muhammad Shahid"",""Md. Abdur Rahman"",""Ahmed Lbath"",""Akhlaq Ahmad"",""Faizan Ur Rehman"",""Abdullah Murad"",""Bilal Sadiq""}"
56272,Impaired default network functional connectivity in autosomal dominant Alzheimer disease.,eng,Neurology,Neurology,81,8,"{""Virginia D Buckles"",""Andrew J Saykin"",""Eric McDade"",""Stephen P Salloway"",""Aaron P Schultz"",""Peter R Schofield"",""Randall Bateman"",""Adam M Brickman"",""Nick C Fox"",""John C Morris"",""John M Ringman"",""Christopher C Rowe"",""Paul Thompson"",""Clifford Jack"",""Beau M Ances"",""Allison M Goate"",""Robert A Koeppe"",""Stephen Correia"",""Jasmeer P Chhatwal"",""Caroline A Sullivan"",""Anne M Fagan"",""Richard Mayeux"",""Daniel S Marcus"",""Tammie L S Benzinger"",""Keith Johnson"",""Reisa A Sperling"",""Chengjie Xiong""}"
737786,Cranial reconstruction of major traumatic defects in children with osteoinductive and resorbable materials,,International Journal of Oral and Maxillofacial Surgery,,40,0,"{""R. R. M. Bos"",""E. W. Hoving"",""M. Wagemakers""}"
680306,Meta-analysis of the effects of sometribove zinc suspension on the production and health of lactating dairy cows.,eng,Journal of the American Veterinary Medical Association,J. Am. Vet. Med. Assoc.,245,5,"{""William W Thatcher"",""Normand R St-Pierre"",""Dale E Bauman"",""Joseph S Hogan"",""K Larry Smith"",""Robert J Collier"",""George A Milliken"",""Jan K Shearer""}"
53877,"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity",,,,0,0,"{""Sheu-jen Huang"",""Maiga Chang"",""Wen-chi Hung"",""Janie Chang""}"
504928,Azathioprine for multiple sclerosis,,,,0,4,"{""Ilaria Casetta"",""Gerardo Iuliano"",""Graziella Filippini""}"
198650,Wound care,,,,7,0,{NULL}
671386,Comparison between incidental malignant and benign breast lesions detected by computed tomography: a systematic review.,eng,Journal of medical imaging and radiation oncology,J Med Imaging Radiat Oncol,57,5,"{""Jasmin Abbas"",""Cholpan Jasaabuu"",""Andreas Gunter Bach"",""Alexey Surov"",""Dominik Schramm"",""Andreas Wienke""}"
981412,"Plant Kunitz proteinase inhibitor attenuates inflammation, oxidative stress and remodeling induced by elastase in mice",,European Respiratory Journal,,44,0,"{""N. M. Pinheiro"",""R. Almeida-Reis"",""L. Oliva"",""M. A. Martins"",""M. L. V. Oliva"",""O. A. Theodoro-Junior"",""E. A. Leick"",""I. F. L. C. Tib̩rio"",""C. M. Prado"",""R. F. Righetti"",""B. T. M. Oliveira""}"
785472,Streptococcus pneumoniae carriage in the Gaza strip,eng,PLoS One,PloS one,7,4,"{""G. Rahav"",""G. Regev-Yochay"",""I. Abullaish"",""A. Elhamdany"",""R. Malley"",""M. Raz"",""A. Goral"",""Y. Roytman"",""B. Shainberg"",""M. Varon"",""A. Ziv""}"
734077,Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,English,Kardiologia Polska,,72,9,"{""M. Niewada"",""J. Pawe��ska"",""A. Budaj"",""T. Macioch"",""P. Perkowski""}"
46028,Changes in renal blood flow measured by radionuclide angiography following exhausting exercise in humans.,eng,European journal of applied physiology and occupational physiology,Eur J Appl Physiol Occup Physiol,74,1,"{""S Ikawa"",""M Sudoh"",""M Suzuki"",""S Matsubara"",""M Shiota"",""K Kawakami""}"
743129,Hormonal and dietary characteristics in obese human subjects with and without food addiction.,eng,Nutrients,Nutrients,7,1,"{""Pardis Pedram"",""Guang Sun""}"
392246,Importance of membrane materials for blood purification devices in critical care.,eng,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,,40,1,"{""Narumi Tomisawa"",""Akihiro C Yamashita""}"
904889,Myofascial trigger points: Spontaneous electrical activity and its consequences for pain induction and propagation,,Chin. Med,,6,0,"{""Ge H.-Y."",""Fern��ndez-de-las-Pe̱as C."",""Yue S.-W.""}"
360147,Treatment of large vessel vasculitis,,Current Immunology Reviews,,7,4,"{""M. A. Alba"",""S. Prieto-Gonzalez"",""A. Garcia-Martinez"",""M. C. Cid"",""M. Butjosa"",""G. Espigol-Frigole"",""J. Hernandez-Rodriguez""}"
670289,Quantitative assessment of the influence of common variations (rs8034191 and rs1051730) at 15q25 and lung cancer risk.,eng,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour Biol.,35,3,"{""Bin Hu"",""Hong-ju Mao"",""Jing Zhao"",""Ying Huang"",""Rong-huan Yu"",""Chao Guan""}"
821702,Cognitive deficits and psychosis in Parkinson's disease: A review of pathophysiology and therapeutic options,English,CNS Drugs,,20,6,"{""T. Foltynie"",""R.A. Barker"",""S.J.G. Lewis"",""C.H. Williams-Gray""}"
188890,Incidence of multi-resistance in gram-negative aerobes from intensive care units of 10 German hospitals.,eng,Scandinavian journal of infectious diseases. Supplementum,Scand J Infect Dis Suppl,78,,"{""R Asanger"",""P M Shah"",""F M Kahan""}"
321660,Tuberculosis and high altitude. Worth a try in extensively drug-resistant tuberculosis?,English,,,189,4,"{""J. F. Murray""}"
427455,Cultural humility: essential foundation for clinical researchers.,eng,Applied nursing research : ANR,Appl Nurs Res,26,4,"{""Katherine A Yeager"",""Susan Bauer-Wu""}"
246204,Primary external fixation versus plaster immobilization of the intra-articular unstable distal radial fracture in the elderly,,Aktuelle Traumatologie,,34,2,"{""J. Oskam"",""J. H. Hegeman"",""J. Palen"",""H. J. Duis"",""P. A. M. Vierhout""}"
857402,High resolution EPR spectroscopy of C(60)F and C(70)F in solid argon: reassignment of C(70)F regioisomers,English,JOURNAL OF CHEMICAL PHYSICS,J Chem Phys,127,8,"{""D. A. Tyurin"",""V. A. Belov"",""D. N. Laikov"",""A. V. Akimov"",""E. Y. Misochko""}"
704357,Clinical and radiological results of calcium phosphate cement-assisted balloon osteoplasty for Colles' fractures in osteoporotic senile female patients,eng,J Orthop Sci,Journal of orthopaedic science : official journal of the Japanese Orthopaedic Association,15,2,"{""A. Sudo"",""S. Ishiguro"",""K. Iida""}"
716785,Explosive power and asymmetry in leg muscle function in frequent fallers and non-fallers aged over 65,,,,31,2,"{""Rutherford OM"",""Kennedy J"",""Skelton DA""}"
746065,Anxiety and depression in patients with chronic obstructive pulmonary disease: an open agenda for research.,,Rev Med Chir Soc Med Nat Iasi,Revista medico-chirurgicala a Societatii de Medici si Naturalisti din Iasi,118,1,"{""Costin M."",""Dumbrav�_ E.L."",""Postolache P."",""Cojocaru D.C.""}"
738322,Classification of autogenous skull grafts in cranial reconstruction,eng,J Okla State Med Assoc,The Journal of the Oklahoma State Medical Association,86,7,"{""S. Pelofsky"",""P. D. Hunter""}"
934177,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,,,,0,0,"{""NCT00750412 ""}"
351534,Implementing participatory intervention and research in communities: lessons from the Kahnawake Schools Diabetes Prevention Project in Canada,English,Social Science and Medicine,,56,6,"{""T Delormier"",""A C Macaulay"",""M Cargo"",""A M McComber"",""L Potvin""}"
